mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.9,"85 km NW of Karluk, Alaska",1710198576212,1710287580990,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439swm7p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439swm7p&format=geojson,,,,,automatic,0,12,ak,02439swm7p,",av92228791,ak02439swm7p,",",av,ak,",",origin,phase-data,",,,0.33,,ml,earthquake,"M 0.9 - 85 km NW of Karluk, Alaska"
0.99,"6 km WNW of Cobb, CA",1710198540470,1710198635710,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015951,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015951&format=geojson,,,,,automatic,0,15,nc,74015951,",nc74015951,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.005597,0.02,61.0,md,earthquake,"M 1.0 - 6 km WNW of Cobb, CA"
2.7,"6 km W of Cobb, CA",1710198468760,1710217588868,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015936,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015936&format=geojson,1.0,2.2,,,automatic,0,112,nc,74015936,",nc74015936,",",nc,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",50.0,0.01032,0.07,37.0,md,earthquake,"M 2.7 - 6 km W of Cobb, CA"
1.0,"57 km ENE of Independence, California",1710198326391,1710204429289,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00874582,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00874582&format=geojson,,,,,reviewed,0,15,nn,00874582,",nn00874582,",",nn,",",origin,phase-data,",5.0,0.227,0.159,215.89,ml,earthquake,"M 1.0 - 57 km ENE of Independence, California"
2.1,"51 km N of Petersville, Alaska",1710198021832,1710198144536,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439sunnr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439sunnr&format=geojson,,,,,automatic,0,68,ak,02439sunnr,",ak02439sunnr,",",ak,",",origin,phase-data,",,,0.35,,ml,earthquake,"M 2.1 - 51 km N of Petersville, Alaska"
0.67,"8 km NW of The Geysers, CA",1710197872360,1710197966544,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015926,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015926&format=geojson,,,,,automatic,0,7,nc,74015926,",nc74015926,",",nc,",",nearby-cities,origin,phase-data,",8.0,0.01325,0.03,90.0,md,earthquake,"M 0.7 - 8 km NW of The Geysers, CA"
0.84,"6 km W of Cobb, CA",1710197833280,1710197926545,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015916,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015916&format=geojson,,,,,automatic,0,11,nc,74015916,",nc74015916,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.01491,0.01,69.0,md,earthquake,"M 0.8 - 6 km W of Cobb, CA"
0.75,"8 km NW of The Geysers, CA",1710197823120,1710197916587,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015911,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015911&format=geojson,,,,,automatic,0,9,nc,74015911,",nc74015911,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.01296,0.02,84.0,md,earthquake,"M 0.8 - 8 km NW of The Geysers, CA"
0.76,"8 km NW of The Geysers, CA",1710197723370,1710197816544,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015906&format=geojson,,,,,automatic,0,9,nc,74015906,",nc74015906,",",nc,",",nearby-cities,origin,phase-data,",12.0,0.01149,0.01,59.0,md,earthquake,"M 0.8 - 8 km NW of The Geysers, CA"
-1.08,"63 km ENE of Pedro Bay, Alaska",1710197670720,1710287242650,,https://earthquake.usgs.gov/earthquakes/eventpage/av92228786,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92228786&format=geojson,,,,,reviewed,0,0,av,92228786,",av92228786,",",av,",",origin,phase-data,",4.0,,0.03,125.0,ml,earthquake,"M -1.1 - 63 km ENE of Pedro Bay, Alaska"
0.68,"8 km W of Cobb, CA",1710197396020,1710197491467,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015901,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015901&format=geojson,,,,,automatic,0,7,nc,74015901,",nc74015901,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.01191,0.01,58.0,md,earthquake,"M 0.7 - 8 km W of Cobb, CA"
0.27,"6 km W of Cobb, CA",1710196689450,1710196786275,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015881,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015881&format=geojson,,,,,automatic,0,1,nc,74015881,",nc74015881,",",nc,",",nearby-cities,origin,phase-data,",7.0,0.01093,0.02,90.0,md,earthquake,"M 0.3 - 6 km W of Cobb, CA"
2.1,"5 km S of Mosquito Lake, Alaska",1710196593222,1710196765732,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439sgypo,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439sgypo&format=geojson,,,,,automatic,0,68,ak,02439sgypo,",ak02439sgypo,",",ak,",",origin,phase-data,",,,0.56,,ml,earthquake,"M 2.1 - 5 km S of Mosquito Lake, Alaska"
1.05,"7 km NW of The Geysers, CA",1710196580900,1710196676277,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015866&format=geojson,,,,,automatic,0,17,nc,74015866,",nc74015866,",",nc,",",nearby-cities,origin,phase-data,",15.0,0.00924,0.02,71.0,md,earthquake,"M 1.1 - 7 km NW of The Geysers, CA"
0.27,"10 km NW of The Geysers, CA",1710196498410,1710196591239,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015861,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015861&format=geojson,,,,,automatic,0,1,nc,74015861,",nc74015861,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.001676,0.02,92.0,md,earthquake,"M 0.3 - 10 km NW of The Geysers, CA"
1.31,"0 km NNE of The Geysers, CA",1710196297800,1710196391241,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015856,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015856&format=geojson,,,,,automatic,0,26,nc,74015856,",nc74015856,",",nc,",",nearby-cities,origin,phase-data,",16.0,0.0213,0.06,80.0,md,earthquake,"M 1.3 - 0 km NNE of The Geysers, CA"
1.9,"43 km NNE of Chenega, Alaska",1710196247294,1710196381276,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439sfpj2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439sfpj2&format=geojson,,,,,automatic,0,56,ak,02439sfpj2,",ak02439sfpj2,",",ak,",",origin,phase-data,",,,0.81,,ml,earthquake,"M 1.9 - 43 km NNE of Chenega, Alaska"
1.6,"61 km S of Whites City, New Mexico",1710195768959,1710199611153,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ezpn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ezpn&format=geojson,,,,,reviewed,0,39,tx,2024ezpn,",tx2024ezpn,",",tx,",",origin,phase-data,",17.0,0.0,0.2,70.0,ml,earthquake,"M 1.6 - 61 km S of Whites City, New Mexico"
0.7,"6 km NW of The Geysers, CA",1710195725190,1710195822091,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015851,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015851&format=geojson,,,,,automatic,0,8,nc,74015851,",nc74015851,",",nc,",",nearby-cities,origin,phase-data,",5.0,0.006458,0.06,130.0,md,earthquake,"M 0.7 - 6 km NW of The Geysers, CA"
1.9,"24 km NW of Tatitlek, Alaska",1710195718434,1710195840993,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439sdswz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439sdswz&format=geojson,,,,,automatic,0,56,ak,02439sdswz,",ak02439sdswz,",",ak,",",origin,phase-data,",,,0.93,,ml,earthquake,"M 1.9 - 24 km NW of Tatitlek, Alaska"
1.51,"14 km WSW of Toms Place, CA",1710195595090,1710195692050,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015846,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015846&format=geojson,,,,,automatic,0,35,nc,74015846,",nc74015846,",",nc,",",nearby-cities,origin,phase-data,",13.0,0.05543,0.02,209.0,md,earthquake,"M 1.5 - 14 km WSW of Toms Place, CA"
1.75,"14 km NE of Pāhala, Hawaii",1710195555950,1710195645410,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74134191,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74134191&format=geojson,,,,,automatic,0,47,hv,74134191,",hv74134191,",",hv,",",origin,phase-data,",22.0,0.03853,0.140000001,153.0,md,earthquake,"M 1.8 - 14 km NE of Pāhala, Hawaii"
1.44,"6 km WSW of Dayton, Washington",1710195514410,1710260846210,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61980627,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61980627&format=geojson,,,,,reviewed,0,32,uw,61980627,",uw61980627,",",uw,",",origin,phase-data,",16.0,0.09382,0.27,88.0,ml,explosion,"M 1.4 Explosion - 6 km WSW of Dayton, Washington"
2.3,"36 km SSW of Los Ybanez, Texas",1710195406493,1710277308242,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ezpi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ezpi&format=geojson,,,,,reviewed,0,81,tx,2024ezpi,",tx2024ezpi,",",tx,",",origin,phase-data,",27.0,0.0,0.1,87.0,ml,earthquake,"M 2.3 - 36 km SSW of Los Ybanez, Texas"
2.7,"3 km ESE of Falls City, Texas",1710195098045,1710242500123,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ezpd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ezpd&format=geojson,5.0,3.4,,,reviewed,0,114,tx,2024ezpd,",us7000m4rj,tx2024ezpd,",",us,tx,",",dyfi,origin,phase-data,",16.0,0.1,0.2,67.0,ml,earthquake,"M 2.7 - 3 km ESE of Falls City, Texas"
0.7,"9 km N of Lemmon Valley, Nevada",1710193672263,1710204056857,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00874581,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00874581&format=geojson,,,,,reviewed,0,8,nn,00874581,",nn00874581,",",nn,",",origin,phase-data,",4.0,0.137,0.0861,123.62,ml,earthquake,"M 0.7 - 9 km N of Lemmon Valley, Nevada"
0.9,"7 km WSW of Julian, CA",1710193369790,1710250663220,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685776,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685776&format=geojson,,,,,reviewed,0,12,ci,40685776,",ci40685776,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.07056,0.2,42.0,ml,earthquake,"M 0.9 - 7 km WSW of Julian, CA"
1.5,"9 km N of Lemmon Valley, Nevada",1710193361718,1710194580002,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00874566,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00874566&format=geojson,,,,,reviewed,0,35,nn,00874566,",nn00874566,",",nn,",",origin,phase-data,",17.0,0.14,0.1086,74.82,ml,earthquake,"M 1.5 - 9 km N of Lemmon Valley, Nevada"
1.13,"4 km ENE of Ocotillo Wells, CA",1710193100630,1710265351892,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685768,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685768&format=geojson,,,,,reviewed,0,20,ci,40685768,",ci40685768,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",49.0,0.06832,0.23,31.0,ml,earthquake,"M 1.1 - 4 km ENE of Ocotillo Wells, CA"
1.3,"9 km N of Lemmon Valley, Nevada",1710192147342,1710193644786,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00874563,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00874563&format=geojson,,,,,reviewed,0,26,nn,00874563,",nn00874563,",",nn,",",origin,phase-data,",15.0,0.14,0.1281,75.83,ml,earthquake,"M 1.3 - 9 km N of Lemmon Valley, Nevada"
1.8,"32 km SE of Mina, Nevada",1710191164889,1710192893408,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00874560,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00874560&format=geojson,,,,,reviewed,0,50,nn,00874560,",nn00874560,",",nn,",",origin,phase-data,",10.0,0.087,0.1634,86.62,ml,earthquake,"M 1.8 - 32 km SE of Mina, Nevada"
1.62,"5 km SSE of Home Gardens, CA",1710191047020,1710264565489,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685744,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685744&format=geojson,,,,,reviewed,0,40,ci,40685744,",ci40685744,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",47.0,0.04489,0.25,49.0,ml,quarry blast,"M 1.6 Quarry Blast - 5 km SSE of Home Gardens, CA"
1.17,"35 km N of Searles Valley, CA",1710190935800,1710263803689,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685736,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685736&format=geojson,,,,,reviewed,0,21,ci,40685736,",ci40685736,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.2273,0.15,113.0,ml,earthquake,"M 1.2 - 35 km N of Searles Valley, CA"
0.78,"7 km E of Yucaipa, CA",1710190875210,1710268804631,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685752,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685752&format=geojson,,,,,reviewed,0,9,ci,40685752,",ci40685752,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.07565,0.12,77.0,ml,earthquake,"M 0.8 - 7 km E of Yucaipa, CA"
1.78,"2 km WNW of Guayanilla, Puerto Rico",1710190212340,1710190788470,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71442783,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71442783&format=geojson,,,,,reviewed,0,49,pr,71442783,",pr71442783,",",pr,",",origin,phase-data,",5.0,0.08428,0.06,181.0,md,earthquake,"M 1.8 - 2 km WNW of Guayanilla, Puerto Rico"
0.39,"29 km W of Chignik Lake, Alaska",1710190054050,1710288715550,,https://earthquake.usgs.gov/earthquakes/eventpage/av91136203,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91136203&format=geojson,,,,,reviewed,0,2,av,91136203,",av91136203,",",av,",",origin,phase-data,",7.0,,0.29,126.0,ml,earthquake,"M 0.4 - 29 km W of Chignik Lake, Alaska"
3.3,"23 km W of Happy Valley, Alaska",1710189978982,1710190507040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439rc7je,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439rc7je&format=geojson,1.0,2.7,,,automatic,0,168,ak,02439rc7je,",ak02439rc7je,us7000m4r0,",",ak,us,",",dyfi,origin,phase-data,",,,0.33,,ml,earthquake,"M 3.3 - 23 km W of Happy Valley, Alaska"
4.5,Fiji region,1710189903058,1710191173040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4r3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m4r3&format=geojson,,,,,reviewed,0,312,us,7000m4r3,",us7000m4r3,",",us,",",origin,phase-data,",44.0,3.509,0.57,74.0,mb,earthquake,M 4.5 - Fiji region
2.2,"48 km W of Salamatof, Alaska",1710189587416,1710190490040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439rarqt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439rarqt&format=geojson,,,,,automatic,0,74,ak,02439rarqt,",us7000m4qy,ak02439rarqt,",",us,ak,",",origin,phase-data,",,,0.36,,ml,earthquake,"M 2.2 - 48 km W of Salamatof, Alaska"
2.26,"14 km NE of Pāhala, Hawaii",1710189312930,1710203738970,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74134116,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74134116&format=geojson,,,,,reviewed,0,79,hv,74134116,",hv74134116,",",hv,",",origin,phase-data,",26.0,0.03739,0.1,98.0,md,earthquake,"M 2.3 - 14 km NE of Pāhala, Hawaii"
2.23,"14 km NE of Pāhala, Hawaii",1710189312920,1710248115040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74134121,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74134121&format=geojson,,,,,reviewed,0,77,hv,74134121,",us7000m4qx,hv74134121,",",us,hv,",",origin,phase-data,",36.0,0.03489,0.15,96.0,ml,earthquake,"M 2.2 - 14 km NE of Pāhala, Hawaii"
1.06,"2 km W of Fontana, CA",1710189044900,1710250703522,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685720,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685720&format=geojson,,,,,reviewed,0,17,ci,40685720,",ci40685720,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",29.0,0.05206,0.13,96.0,ml,earthquake,"M 1.1 - 2 km W of Fontana, CA"
1.08,"8 km NW of The Geysers, CA",1710188556520,1710188650679,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015811,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015811&format=geojson,,,,,automatic,0,18,nc,74015811,",nc74015811,",",nc,",",nearby-cities,origin,phase-data,",24.0,0.007219,0.02,46.0,md,earthquake,"M 1.1 - 8 km NW of The Geysers, CA"
0.41,"20 km ESE of Anza, CA",1710188518990,1710268612754,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685712,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685712&format=geojson,,,,,reviewed,0,3,ci,40685712,",ci40685712,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.0805,0.12,156.0,ml,earthquake,"M 0.4 - 20 km ESE of Anza, CA"
0.9,"31 km WNW of Ester, Alaska",1710188316665,1710188433295,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439r68vm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439r68vm&format=geojson,,,,,automatic,0,12,ak,02439r68vm,",ak02439r68vm,",",ak,",",origin,phase-data,",,,0.51,,ml,earthquake,"M 0.9 - 31 km WNW of Ester, Alaska"
1.7,"29 km W of Chenega, Alaska",1710187904149,1710187996364,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439r4rfy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439r4rfy&format=geojson,,,,,automatic,0,44,ak,02439r4rfy,",ak02439r4rfy,",",ak,",",origin,phase-data,",,,0.09,,ml,earthquake,"M 1.7 - 29 km W of Chenega, Alaska"
-0.44,"87 km NNW of Karluk, Alaska",1710187587600,1710288042910,,https://earthquake.usgs.gov/earthquakes/eventpage/av91136198,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91136198&format=geojson,,,,,reviewed,0,0,av,91136198,",av91136198,",",av,",",origin,phase-data,",7.0,,0.1,95.0,ml,earthquake,"M -0.4 - 87 km NNW of Karluk, Alaska"
0.49,"7 km NW of The Geysers, CA",1710186772650,1710186865152,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015796,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015796&format=geojson,,,,,automatic,0,4,nc,74015796,",nc74015796,",",nc,",",nearby-cities,origin,phase-data,",6.0,0.006996,0.01,148.0,md,earthquake,"M 0.5 - 7 km NW of The Geysers, CA"
0.78,"Rat Islands, Aleutian Islands, Alaska",1710186661420,1710285710320,,https://earthquake.usgs.gov/earthquakes/eventpage/av92228681,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92228681&format=geojson,,,,,reviewed,0,9,av,92228681,",av92228681,",",av,",",origin,phase-data,",4.0,,0.08,276.0,ml,earthquake,"M 0.8 - Rat Islands, Aleutian Islands, Alaska"
0.56,"9 km S of Idyllwild, CA",1710186430080,1710263429644,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685680,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685680&format=geojson,,,,,reviewed,0,5,ci,40685680,",ci40685680,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.04561,0.08,88.0,ml,earthquake,"M 0.6 - 9 km S of Idyllwild, CA"
4.9,"225 km E of Levuka, Fiji",1710186118618,1710187096040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4qp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m4qp&format=geojson,,,,,reviewed,0,369,us,7000m4qp,",at00sa781z,us7000m4qp,",",at,us,",",internal-origin,origin,phase-data,",62.0,3.224,0.74,79.0,mb,earthquake,"M 4.9 - 225 km E of Levuka, Fiji"
0.64,"8 km NW of The Geysers, CA",1710186006620,1710186101046,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74015791,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74015791&format=geojson,,,,,automatic,0,6,nc,74015791,",nc74015791,",",nc,",",nearby-cities,origin,phase-data,",15.0,0.00738,0.02,83.0,md,earthquake,"M 0.6 - 8 km NW of The Geysers, CA"
-0.06,"68 km NE of Nikolski, Alaska",1710185661430,1710286589920,,https://earthquake.usgs.gov/earthquakes/eventpage/av92228676,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92228676&format=geojson,,,,,reviewed,0,0,av,92228676,",av92228676,",",av,",",origin,phase-data,",6.0,,0.2,217.0,ml,earthquake,"M -0.1 - 68 km NE of Nikolski, Alaska"
0.74,"67 km NE of Nikolski, Alaska",1710185594490,1710286087940,,https://earthquake.usgs.gov/earthquakes/eventpage/av91136193,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91136193&format=geojson,,,,,reviewed,0,8,av,91136193,",av91136193,",",av,",",origin,phase-data,",6.0,,0.26,218.0,ml,earthquake,"M 0.7 - 67 km NE of Nikolski, Alaska"
1.4,"6 km E of Fox, Alaska",1710185590786,1710186103051,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02439qnyzv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02439qnyzv&format=geojson,1.0,3.1,,,automatic,0,30,ak,02439qnyzv,",ak02439qnyzv,",",ak,",",dyfi,origin,phase-data,",,,0.7,,ml,earthquake,"M 1.4 - 6 km E of Fox, Alaska"
4.1,"32 km S of Jurm, Afghanistan",1710185462050,1710186932040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ql,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m4ql&format=geojson,,,,,reviewed,0,259,us,7000m4ql,",us7000m4ql,",",us,",",origin,phase-data,",25.0,2.993,0.51,86.0,mb,earthquake,"M 4.1 - 32 km S of Jurm, Afghanistan"
1.24,"4 km NNW of Lake Elsinore, CA",1710184722340,1710262978345,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40685664,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40685664&format=geojson,2.0,3.1,,,reviewed,0,24,ci,40685664,",ci40685664,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",32.0,0.03415,0.2,67.0,ml,earthquake,"M 1.2 - 4 km NNW of Lake Elsinore, CA"
